track_id,track,album,release_year,artists,popularity,genre,year_range
,Foolin' Ourselves,West on I-10,2023,Evan Honer,61,blues,2020-2024
,Papa Was A Rolling Stone feat. Demi Lovato,Orgy of the Damned,2024,"Slash, Demi Lovato",37,blues,2020-2024
,Woman's Woman,Reckoners,2024,Reckoners,37,blues,2020-2024
,That's Why I'm Crying,Open Road,2021,Colin James,30,blues,2020-2024
,Dance Monkey,Dance Monkey,2020,"Bette Smith, Kirk Fletcher",31,blues,2020-2024
,Pride And Joy - Remastered 2024,In Session (Deluxe Edition / Remastered 2024),2024,"Albert King, Stevie Ray Vaughan",39,blues,2020-2024
,Whiskey and Lady,Slow Blues,2023,"Lost in Blues, Sime Tunes, Blues Whiskey, Night Tunes",40,blues,2020-2024
,Father in a Bible,Father in a Bible,2024,Jonas Conner,54,blues,2020-2024
,Candy and Her Friends (feat. Lil Noid),Ohio Players,2024,"The Black Keys, Lil Noid",37,blues,2020-2024
,I Hope Somebody's Loving You,Son of a Broken Man,2024,Fantastic Negrito,29,blues,2020-2024
,Sweet Love,Sweet Love,2024,The Vintage Explosion,39,blues,2020-2024
,Human,Reckless Blues,2020,Joanne Shaw Taylor,36,blues,2020-2024
,Crossroads,Crossroads,2024,"The Imaginaries, Joe Bonamassa",38,blues,2020-2024
,Savior With A Razor (feat. Slash),You Still Got Me,2024,"Beth Hart, Slash",38,blues,2020-2024
,Led Me To You,Boots & Blues,2024,Lance and Lea,36,blues,2020-2024
,Slow Tunes,Whiskey Blues,2023,"Gary Tunes, Eric Blues, Red Whiskey, Ricardo Tunes",38,blues,2020-2024
,These Days,Brothers (Deluxe Remastered Anniversary Edition),2020,The Black Keys,35,blues,2020-2024
,Mind’s Eye,Time Clocks,2021,Joe Bonamassa,39,blues,2020-2024
,Devotion,Devotion,2024,"Honeybear, the Band",30,blues,2020-2024
,Everybody Knows,Shepherd,2024,Bywater Call,33,blues,2020-2024
,Long Gone,Long Gone,2022,Small-Town Strip Club,41,blues,2020-2024
,Summer Night Blues,Summer Night Blues,2020,OdinMann,38,blues,2020-2024
,Boss Man,Red Moon Rising (Deluxe Edition),2024,Robert Jon & the Wreck,34,blues,2020-2024
,Slamming The Door,Raise Your Hand,2021,Mike Andersen,35,blues,2020-2024
,The Pleasure's All Mine,"The Pleasure's All Mine: The Complete Blues, Ballads and Favorites Sessions",2020,Jimmie Vaughan,35,blues,2020-2024
