track_id,track,album,release_year,artists,popularity,genre,year_range
,The Emptiness Machine,Heavy Is the Crown,2024,Linkin Park,53,metal,2020-2024
,LosT,LosT,2023,Bring Me The Horizon,61,metal,2020-2024
,The Unforgiven - Remastered 2021,Metallica (Remastered Deluxe Box Set),2021,Metallica,55,metal,2020-2024
,sTraNgeRs,sTraNgeRs,2022,Bring Me The Horizon,60,metal,2020-2024
,Neon Grave,Dark Sun,2022,Dayseeker,64,metal,2020-2024
,To the Hellfire,To the Hellfire,2021,Lorna Shore,62,metal,2020-2024
,Stratego,Senjutsu,2021,Iron Maiden,48,metal,2020-2024
,The God That Failed - Remastered 2021,Metallica (Remastered 2021),2021,Metallica,55,metal,2020-2024
,Mine,This Place Will Become Your Tomb,2021,Sleep Token,64,metal,2020-2024
,My Friend of Misery - Remastered 2021,Metallica (Remastered 2021),2021,Metallica,54,metal,2020-2024
,Genesis,Ohms,2020,Deftones,61,metal,2020-2024
,Catastrophist,What The Dead Men Say,2020,Trivium,55,metal,2020-2024
,The Love You Want,This Place Will Become Your Tomb,2021,Sleep Token,65,metal,2020-2024
,on the verge,EXCESSIVE GUILT,2024,thrown,62,metal,2020-2024
,Wings of Light,Circus Of Doom,2022,Battle Beast,52,metal,2020-2024
,Kool-Aid,Kool-Aid,2024,Bring Me The Horizon,59,metal,2020-2024
,Drowned in Emotion,Lost Souls,2021,Caskets,59,metal,2020-2024
,Another World,Fortitude,2021,Gojira,56,metal,2020-2024
,What It Cost,THE DEATH OF PEACE OF MIND,2022,Bad Omens,59,metal,2020-2024
,Defence of Moscow,Defence of Moscow,2021,Sabaton,55,metal,2020-2024
,Ohms,Ohms,2020,Deftones,62,metal,2020-2024
,Live or Die (feat. Joakim Brodén),Live Or Die (feat. Joakim Brodén),2020,"Apocalyptica, Sabaton, Joakim Brodén",57,metal,2020-2024
,Patient Number 9 (feat. Jeff Beck),Patient Number 9,2022,"Ozzy Osbourne, Jeff Beck",58,metal,2020-2024
,MISA MISA!,MISA MISA!,2022,"CORPSE, Scarlxrd, Kordhell",61,metal,2020-2024
,The Unkillable Soldier,The War to End All Wars,2022,Sabaton,56,metal,2020-2024
,Behelit,Behelit,2024,Slaughter to Prevail,57,metal,2020-2024
,If Darkness Had a Son,72 Seasons,2023,Metallica,51,metal,2020-2024
,Impermanence,For Those That Wish To Exist,2021,"Architects, Winston McCall",57,metal,2020-2024
,Cyberhex,Scoring The End Of The World,2022,"Motionless In White, Lindsay Schoolcraft",59,metal,2020-2024
,Dance Devil Dance,Dance Devil Dance,2023,Avatar,52,metal,2020-2024
,"You're Not Gone, You're Just Dead!","You're Not Gone, You're Just Dead!",2023,VIOLENT VIRA,64,metal,2020-2024
,We’ll Be Back,"The Sick, The Dying… And The Dead!",2022,Megadeth,53,metal,2020-2024
,Dissipate,Fatalism,2023,Polaris,59,metal,2020-2024
,Dancing with the Dead,Call of the Wild (Deluxe Version),2021,Powerwolf,53,metal,2020-2024
,Resentment,You're Welcome,2021,A Day To Remember,62,metal,2020-2024
,Enter Sandman - Remastered 2021,Metallica (Remastered 2021),2021,Metallica,54,metal,2020-2024
,Last Resort (Reloaded),Last Resort (Reloaded),2021,"Papa Roach, Jeris Johnson",63,metal,2020-2024
,Dad Vibes,STILL SUCKS,2021,Limp Bizkit,58,metal,2020-2024
,No More Tears,No More Tears (30th Anniversary Expanded Edition),2021,Ozzy Osbourne,62,metal,2020-2024
,The End of All We Know,Fracture,2020,Bleed From Within,53,metal,2020-2024
,Soul Bleach,Darker Still,2022,Parkway Drive,54,metal,2020-2024
,Make Believe,Remade In Misery,2022,Memphis May Fire,61,metal,2020-2024
,Parasite Eve,Parasite Eve,2020,Bring Me The Horizon,56,metal,2020-2024
,Noise,HUMAN. :II: NATURE.,2020,Nightwish,53,metal,2020-2024
,Noise,HUMAN. :II: NATURE.,2020,Nightwish,53,metal,2020-2024
,Insanely Illegal Cage Fight,Insanely Illegal Cage Fight,2023,"Dal Av, Jackson Rose",60,metal,2020-2024
,SLEEPS SOCIETY,SLEEPS SOCIETY,2021,While She Sleeps,54,metal,2020-2024
,Lady of the Dark,The War to End All Wars,2022,Sabaton,56,metal,2020-2024
,Holy Roller,Eternal Blue,2021,Spiritbox,60,metal,2020-2024
,AFRAID TO DIE,VERITAS,2024,"P.O.D., Tatiana Shmayluk, Jinjer",54,metal,2020-2024
,Teardrinker,Hushed and Grim,2021,Mastodon,54,metal,2020-2024
,Gimme a Second,Desperate (For) Humanity,2020,Saliva Grey,62,metal,2020-2024
,Friendly Fire,Friendly Fire,2024,Linkin Park,57,metal,2020-2024
,V.A.N,V.A.N,2024,"Bad Omens, Poppy",59,metal,2020-2024
,Dead Talk,What If I Break?,2023,Wind Walkers,62,metal,2020-2024
,Hate/Love,MMXX - Hypa Hypa Edition,2021,Electric Callboy,55,metal,2020-2024
,R.i.p. (duskCOre RemIx),POST HUMAN: NeX GEn,2024,Bring Me The Horizon,56,metal,2020-2024
,Are You Really Okay?,Take Me Back To Eden,2023,Sleep Token,63,metal,2020-2024
,One Assassination Under God,One Assassination Under God - Chapter 1,2024,Marilyn Manson,52,metal,2020-2024
,Natural Born Killer,Final Advent,2022,Dynazty,52,metal,2020-2024
,Lux Æterna,Lux Æterna,2022,Metallica,51,metal,2020-2024
,Raise The Red Flag,One Assassination Under God - Chapter 1,2024,Marilyn Manson,51,metal,2020-2024
,Ludens,POST HUMAN: SURVIVAL HORROR,2020,Bring Me The Horizon,56,metal,2020-2024
,Wherever I May Roam - Remastered 2021,Metallica (Remastered Deluxe Box Set),2021,Metallica,54,metal,2020-2024
