track,album,release_year,artists,popularity,genre
Walking Blues,Walking Blues,2020,"Playing For Change, Keb' Mo', Roberto Luti, Nico Bereciartua, Chris Pierce",37,blues
Let's Waste Some Time,Let's Waste Some Time,2023,"Gary Tunes, Eric Blues, Red Whiskey",41,blues
Late Night Blues,Late Night Blues,2023,"Gary Tunes, Eric Blues, Red Whiskey, Ricardo Tunes",43,blues
Summertime (Live),Blues From The Heart Live (Live),2022,"Joanne Shaw Taylor, Joe Bonamassa",39,blues
She Knows It,She Knows It,2024,Steven Rodriguez,49,blues
Walk Away,Walk Away,2024,"Honeybear, the Band",30,blues
In the Midnight Hour,In the Midnight Hour,2020,Handsome Jack,35,blues
It Ain't Over,Dropout Boogie,2022,The Black Keys,42,blues
Put That Back,Crown,2022,Eric Gales,38,blues
Pretend I Don't Need You,Sun & The Saint,2024,Sun & The Saint,31,blues
Testify - Radio Edit,Testify (Radio Edit),2023,These Wicked Rivers,39,blues
Them That Got,True Genius,2021,Ray Charles,38,blues
Buckle Up!,A Drive-By Love Affair,2021,The Kokomo Kings,36,blues
Hard to Love,Bonneville,2023,Bonneville,30,blues
Laughing No More,Laughing No More,2023,"Eric Blues, Lost in Blues, Blues Whiskey",40,blues
Running Through My Mind,What's the Sun Without the Rain?,2024,GeeJay,38,blues
Country Child,Sharecropper's Son,2021,Robert Finley,32,blues
Walking Wounded,United State of Mind,2020,"Robin Trower, Maxi Priest, Livingstone Brown",38,blues
Two Lonely Souls,Got No More Time,2023,"Lost in Blues, Sime Tunes, Blues Whiskey, Night Tunes",41,blues
Get You There,The Last Resort,2022,7Horse,44,blues
Holler,Shepherd,2024,Bywater Call,36,blues
Stormy Monday feat. Beth Hart,Orgy of the Damned,2024,"Slash, Beth Hart",39,blues
Tennessee Whiskey / I'd Rather Go Blind,Low Key Soul Sessions,2024,Milk'n Blues,38,blues
What's on Your Mind (OurVinyl Sessions),Greyhounds | OurVinyl Sessions,2022,"Greyhounds, OurVinyl",42,blues
Mellow Down,Mellow Down,2024,Paul Bradley Atkinson,31,blues
Moondance,The Best of Bublé,2024,Michael Bublé,33,blues
Sugar and Spice,Sugar and Spice,2021,Jocelyn & Chris Arndt,42,blues
I Wish I Knew How It Would Feel to Be Free (Live – Montreux Jazz Festival 1976),I Wish I Knew How It Would Feel to Be Free (Live – Montreux Jazz Festival 1976),2021,Nina Simone,32,blues
Beating Heart,Beating Heart,2022,Half Light Music,38,blues
Something on Me,Something on Me,2020,"Snowy White, The White Flames",36,blues
Blues Is My Best Friend,Real Gone,2023,Ally Venable,39,blues
Have a Ball,If These Walls Could Talk,2022,Luke Winslow-King,39,blues
Half My Fault,A Little Calamity,2021,Ghost Hounds,44,blues
Between Me and the Devil,A Little Calamity,2021,Ghost Hounds,45,blues
Eventually,Beautiful Dreams,2023,Acantha Lang,32,blues
You Still Got Me,You Still Got Me,2024,Beth Hart,39,blues
So Afraid of Losing You Again,So Afraid Of Losing You Again,2024,Danielia Cotton,34,blues
Backlash Blues (Live – Montreux Jazz Festival 1976),Nina Simone: The Montreux Years (Live),2021,Nina Simone,37,blues
What About The Children,JPEG RAW,2024,"Gary Clark Jr., Stevie Wonder",40,blues
Hungry Sheep,Hungry Sheep,2023,Lena Morris,27,blues
Slow Road to Redemption,Slow Road to Redemption,2024,Eva Carboni,34,blues
Hurtin,Whiskey Blues | Best of Slow Blues/Rock,2021,BluesBiz,40,blues
One Shot,One Shot,2023,Bryan Elijah Smith,49,blues
Next Time You Call,Raise Your Hand,2021,Mike Andersen,35,blues
"Talkin' Ugly Truth, Tellin' Pretty Lies","Talkin' Ugly Truth, Tellin' Pretty Lies",2024,Bruce Sudano,32,blues
Blacksnake Blues,Blacksnake Blues,2022,All Them Witches,40,blues
Leave This House,Open Road,2021,Colin James,37,blues
Thinking 'Bout Myself,Push The Blues Away,2020,"Ash Grunwald, Josh Teskey",37,blues
Soulful Smooth Guitar,Vintage Swing Guitar Jazz - Timeless Melodies Rhythmic Grooves,2024,Chilled Blues,40,blues
Don't Let It Drag You Down,Don't Let It Drag You Down,2024,Halo Rider,32,blues
I Can't Live Without Blues,I Can't Live Without Blues,2024,OdinMann,36,blues
Feeling Good,Cruella (Original Motion Picture Soundtrack),2021,Nina Simone,40,blues
Call me King,The Tone Search Collection,2024,Steinar Ytrehus,35,blues
Moon River,Moon River,2023,"Eric Clapton, Jeff Beck",36,blues
Disappearing Man,Hurricane Town,2022,John Haydock,35,blues
Some Changes,Sunburn,2024,Cuffing Season,51,blues
Save Me,High Time,2023,Jay Howie,37,blues
Headed For The Stars,Navigation Blues,2022,Thorbjørn Risager & The Black Tornado,38,blues
Mr. Robert,DSM III,2022,Dirty Sound Magnet,38,blues
Scorned,Scorned,2023,Kira Mac,35,blues
Heard It On The X,RAW (‘That Little Ol' Band From Texas’ Original Soundtrack),2022,ZZ Top,36,blues
Toccata,Lighter Notes,2024,Luca Sestak,42,blues
Crawling Kingsnake,Delta Kream,2021,The Black Keys,42,blues
Chillout Blues,Chillout Blues,2024,OdinMann,37,blues
"No Money, Nor Faith (Freedom)",Heaven Knows,2022,Mica Millar,35,blues
L'hotel Serein,L'hotel Serein,2022,All Them Witches,39,blues
Going Down South,Delta Kream,2021,The Black Keys,40,blues
That's What Love Will Make You Do,S.O.S. 4: Blues For Your Soul,2023,"Marc Broussard, Joe Bonamassa",40,blues
Another Life Goes By,662,2021,"Christone ""Kingfish"" Ingram",40,blues
When Eden Was My Girl (feat. Marcus King),When Eden Was My Girl (feat. Marcus King),2023,"Ida Mae, Marcus King",38,blues
True Intentions,True Intentions,2024,Neville James Martin,40,blues
Virginia Highway,Virginia Highway,2020,Tigerblood Jewel,46,blues
Forget Yourself,Woman Mind of My Own,2021,Natalia M. King,33,blues
We Merge - Live,LIVE with LOOPER No.1,2023,Markus K.,37,blues
Maybe Someday,Whiskey Blues | Best of Slow Blues/Rock,2021,BluesBiz,38,blues
Take Me Home,Slow Blues,2023,"Lost in Blues, Sime Tunes, Blues Whiskey, Night Tunes",40,blues
Feeling Good,Slow Blues,2023,"Lost in Blues, Sime Tunes, Blues Whiskey, Night Tunes",40,blues
One More Traveller,Something on Me,2020,"Snowy White, The White Flames",35,blues
Looking for a Reason,Reckoners,2024,"Reckoners, Susan Tedeschi",35,blues
662,662,2021,"Christone ""Kingfish"" Ingram",42,blues
